year,Smoke Alarms,GFCIs,AFCIs,CO\nAlarms
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,3,0,0
1976,2,3,0,0
1977,2,3,0,0
1978,2,3,0,0
1979,2,3,0,0
1980,2,3,0,0
1981,2,3,0,0
1982,2,3,0,0
1983,2,3,0,0
1984,2,3,0,0
1985,2,3,0,0
1986,2,3,0,0
1987,2,3,0,0
1988,5,3,0,0
1989,5,3,0,0
1990,5,3,0,0
1991,5,3,0,0
1992,5,3,0,0
1993,5,3,0,0
1994,5,3,0,0
1995,5,3,0,0
1996,5,6,0,0
1997,5,6,0,0
1998,5,6,0,0
1999,5,6,0,0
2000,5,6,0,0
2001,5,6,0,0
2002,5,6,2,0
2003,5,6,2,0
2004,5,6,2,0
2005,5,8,2,0
2006,5,8,2,0
2007,5,8,2,0
2008,5,8,4,0
2009,5,8,4,0
2010,5,8,4,0
2011,5,8,4,2
2012,5,8,4,2
2013,5,8,4,2
2014,5,8,4,2
2015,5,8,4,2
2016,5,8,4,2
